,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,Cable Connection,Assessment Number
15065,No,No,Yes,Yes,No,No,No,1086319522
15066,No,No,Yes,Yes,No,No,No,1086319567
15067,No,No,Yes,Yes,No,No,No,1086319545
15068,No,No,Yes,Yes,No,No,No,1086319547
15069,No,No,Yes,Yes,No,No,No,1086319549
15070,No,No,Yes,Yes,No,No,No,1086319554
15071,No,No,Yes,Yes,No,No,No,1086319556
15072,No,No,Yes,Yes,No,No,No,1086319557
15073,No,No,Yes,Yes,No,No,No,1086319558
15074,No,No,Yes,Yes,No,No,No,1086319568
15075,No,No,Yes,Yes,No,No,No,1086319570
15076,No,No,Yes,Yes,No,No,No,1086319612
15077,No,No,Yes,Yes,No,No,No,1086319611
15078,No,No,Yes,Yes,No,No,No,1086319622
15079,No,No,Yes,Yes,No,No,No,1086319639
15080,No,No,Yes,Yes,No,No,No,1086319722
15081,No,No,Yes,Yes,No,No,No,1086319642
15082,No,No,Yes,Yes,No,No,No,1086320124
15083,No,No,Yes,Yes,No,No,No,1086320457
15084,No,No,Yes,Yes,No,No,No,1086320209
15085,No,No,Yes,Yes,No,No,No,1086319670
15086,No,No,Yes,Yes,No,No,No,1086319674
15087,No,No,Yes,Yes,No,No,No,1086319713
15088,No,No,Yes,Yes,No,No,No,1086320350
15089,No,No,Yes,Yes,No,No,No,1086319721
15090,No,No,Yes,Yes,No,No,No,1086319735
15091,No,No,Yes,Yes,No,No,No,1086319740
15092,No,No,Yes,Yes,No,No,No,1086319750
15093,No,No,Yes,Yes,No,No,No,1086319759
15094,No,No,Yes,Yes,No,No,No,1086319788
15095,No,No,Yes,Yes,No,No,No,1086319797
15096,No,No,Yes,Yes,No,No,No,1086319798
15097,No,No,Yes,Yes,No,No,No,1086319809
15098,No,No,Yes,Yes,No,No,No,1086319812
15099,No,No,Yes,Yes,No,No,No,1086319826
15100,No,No,Yes,Yes,No,No,No,1086319836
15101,No,No,Yes,Yes,No,No,No,1086319838
15102,No,No,Yes,Yes,No,No,No,1086319846
15103,No,No,Yes,Yes,No,No,No,1086319918
15104,No,No,Yes,Yes,No,No,No,1086319854
15105,No,No,Yes,Yes,No,No,No,1086319904
15106,No,No,Yes,Yes,No,No,No,1086319881
15107,No,No,Yes,Yes,No,No,No,1086319864
15108,No,No,Yes,Yes,No,No,No,1086319874
15109,No,No,Yes,Yes,No,No,No,1086319891
