,Lift,Toilets,Water Tap,Electricity,Attached Bathroom,Water Harvesting,cable connection,Assessment Number
0,No,No,Yes,Yes,No,No,No,1086286612
0,No,No,Yes,Yes,No,No,No,1086286615
0,No,No,Yes,Yes,No,No,No,1086286722
0,No,No,Yes,Yes,No,No,No,1086286747
0,No,No,Yes,Yes,No,No,No,1086286753
0,No,No,Yes,Yes,No,No,No,1086286757
0,No,No,Yes,Yes,No,No,No,1086286807
0,No,No,Yes,Yes,No,No,No,1086286764
0,No,No,Yes,Yes,No,No,No,1086286791
0,No,No,Yes,Yes,No,No,No,1086286809
0,No,Yes,Yes,Yes,No,No,No,1086286830
0,No,No,Yes,Yes,No,No,No,1086287261
0,No,No,Yes,Yes,No,No,No,1086286947
0,No,No,Yes,Yes,No,No,No,1086286997
0,No,No,Yes,Yes,No,No,No,1086286993
0,No,No,Yes,Yes,No,No,No,1086287019
0,No,No,Yes,Yes,No,No,No,1086287027
0,No,No,Yes,Yes,No,No,No,1086287077
0,No,No,Yes,Yes,No,No,No,1086287065
0,No,No,Yes,Yes,No,No,No,1086287073
0,No,No,Yes,Yes,No,No,No,1086287093
0,No,No,Yes,Yes,No,No,No,1086287131
0,No,No,Yes,Yes,No,No,No,1086287136
0,No,No,Yes,Yes,No,No,No,1086287141
0,No,No,Yes,Yes,No,No,No,1086287265
0,No,No,Yes,Yes,No,No,No,1086287266
0,No,No,Yes,Yes,No,No,No,1086287281
0,No,No,Yes,Yes,No,No,No,1086287290
0,No,No,Yes,Yes,No,No,No,1086287397
0,No,No,Yes,Yes,No,No,No,1086287366
0,No,No,Yes,Yes,No,No,No,1086287386
0,No,No,Yes,Yes,No,No,No,1086287640
0,No,Yes,Yes,Yes,Yes,No,No,1086287635
0,No,No,Yes,Yes,No,No,No,1086287644
0,No,No,Yes,Yes,No,No,No,1086287857
0,No,No,Yes,Yes,No,No,No,1086287932
0,No,No,Yes,Yes,No,No,No,1086287941
0,No,No,Yes,Yes,No,No,No,1086288090
0,No,No,Yes,Yes,No,No,No,1086288115
0,No,No,Yes,Yes,No,No,No,1086288298
0,No,No,Yes,Yes,No,No,No,1086288319
0,No,No,Yes,Yes,No,No,No,1086288397
0,No,No,Yes,Yes,No,No,No,1086288444
0,No,No,Yes,Yes,No,No,No,1086288465
0,No,No,Yes,Yes,No,No,No,1086288773
0,No,No,Yes,Yes,No,No,No,1086289053
0,No,No,Yes,Yes,No,No,No,1086289392
0,No,No,Yes,Yes,No,No,No,1086289523
0,No,No,Yes,Yes,No,No,No,1086289660
0,No,No,Yes,Yes,No,No,No,1086289884
0,No,No,Yes,Yes,No,No,No,1086289906
0,No,No,Yes,Yes,No,No,No,1086289912
0,No,No,Yes,Yes,No,No,No,1086290038
0,No,No,Yes,Yes,No,No,No,1086290058
0,No,No,Yes,Yes,No,No,No,1086290061
0,No,No,Yes,Yes,No,No,No,1086290087
0,No,No,Yes,Yes,No,No,No,1086290192
0,No,No,Yes,Yes,No,No,No,1086290657
0,No,No,Yes,Yes,No,No,No,1086290199
0,No,No,Yes,Yes,No,No,No,1086290559
0,No,No,Yes,Yes,No,No,No,1086290797
0,No,No,Yes,Yes,No,No,No,1086290248
0,No,No,Yes,Yes,No,No,No,1086290251
0,No,No,Yes,Yes,No,No,No,1086290258
0,No,No,Yes,Yes,No,No,No,1086290292
0,No,No,Yes,Yes,No,No,No,1086290299
0,No,No,Yes,Yes,No,No,No,1086290376
0,No,No,Yes,Yes,No,No,No,1086290577
0,No,No,Yes,Yes,No,No,No,1086290607
0,No,No,Yes,Yes,No,No,No,1086290651
0,No,No,Yes,Yes,No,No,No,1086290655
0,No,No,Yes,Yes,No,No,No,1086290718
0,No,No,Yes,Yes,No,No,No,1086290715
0,No,No,Yes,Yes,No,No,No,1086291141
0,No,No,Yes,Yes,No,No,No,1086290790
0,No,No,Yes,Yes,No,No,No,1086291074
0,No,Yes,Yes,Yes,No,No,No,1086290861
0,No,No,Yes,Yes,No,No,No,1086290870
0,No,No,Yes,Yes,No,No,No,1086290965
0,No,No,Yes,Yes,No,No,No,1086291112
0,No,No,Yes,Yes,No,No,No,1086291142
0,No,Yes,Yes,Yes,Yes,No,No,1086291217
0,No,No,Yes,Yes,No,No,No,1086291227
0,No,No,Yes,Yes,No,No,No,1086291261
0,No,No,Yes,Yes,No,No,No,1086291404
0,No,Yes,Yes,Yes,No,No,No,1086291705
0,No,No,Yes,Yes,No,No,No,1086291707
0,No,No,Yes,Yes,No,No,No,1086291768
